Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/02/2024,08:00,N,HB_WEST,50.03
01/02/2024,08:00,N,LZ_AEN,42.0
01/02/2024,08:00,N,LZ_CPS,42.77
01/02/2024,08:00,N,LZ_HOUSTON,41.45
01/02/2024,08:00,N,LZ_LCRA,42.38
01/02/2024,08:00,N,LZ_NORTH,42.09
01/02/2024,08:00,N,LZ_RAYBN,41.53
01/02/2024,08:00,N,LZ_SOUTH,37.18
01/02/2024,08:00,N,LZ_WEST,65.74
01/02/2024,09:00,N,HB_BUSAVG,34.86
01/02/2024,09:00,N,HB_HOUSTON,34.73
01/02/2024,09:00,N,HB_HUBAVG,35.12
01/02/2024,09:00,N,HB_NORTH,35.0
01/02/2024,09:00,N,HB_PAN,35.74
01/02/2024,09:00,N,HB_SOUTH,32.98
01/02/2024,09:00,N,HB_WEST,37.78
01/02/2024,09:00,N,LZ_AEN,34.94
01/02/2024,09:00,N,LZ_CPS,35.21
01/02/2024,09:00,N,LZ_HOUSTON,34.71
01/02/2024,09:00,N,LZ_LCRA,35.07
01/02/2024,09:00,N,LZ_NORTH,35.25
01/02/2024,09:00,N,LZ_RAYBN,34.89
01/02/2024,09:00,N,LZ_SOUTH,31.58
01/02/2024,09:00,N,LZ_WEST,43.53
01/02/2024,10:00,N,HB_BUSAVG,26.0
01/02/2024,10:00,N,HB_HOUSTON,25.75
01/02/2024,10:00,N,HB_HUBAVG,26.39
01/02/2024,10:00,N,HB_NORTH,25.75
01/02/2024,10:00,N,HB_PAN,27.5
01/02/2024,10:00,N,HB_SOUTH,25.09
01/02/2024,10:00,N,HB_WEST,28.98
01/02/2024,10:00,N,LZ_AEN,26.1
01/02/2024,10:00,N,LZ_CPS,26.21
01/02/2024,10:00,N,LZ_HOUSTON,25.76
01/02/2024,10:00,N,LZ_LCRA,26.17
01/02/2024,10:00,N,LZ_NORTH,27.97
01/02/2024,10:00,N,LZ_RAYBN,24.36
01/02/2024,10:00,N,LZ_SOUTH,24.36
01/02/2024,10:00,N,LZ_WEST,32.53
01/02/2024,11:00,N,HB_BUSAVG,22.69
01/02/2024,11:00,N,HB_HOUSTON,22.72
01/02/2024,11:00,N,HB_HUBAVG,22.81
01/02/2024,11:00,N,HB_NORTH,22.72
01/02/2024,11:00,N,HB_PAN,22.83
01/02/2024,11:00,N,HB_SOUTH,22.02
01/02/2024,11:00,N,HB_WEST,23.76
01/02/2024,11:00,N,LZ_AEN,22.77
01/02/2024,11:00,N,LZ_CPS,22.84
01/02/2024,11:00,N,LZ_HOUSTON,22.72
01/02/2024,11:00,N,LZ_LCRA,22.8
01/02/2024,11:00,N,LZ_NORTH,22.73
01/02/2024,11:00,N,LZ_RAYBN,22.72
01/02/2024,11:00,N,LZ_SOUTH,21.38
01/02/2024,11:00,N,LZ_WEST,25.79
01/02/2024,12:00,N,HB_BUSAVG,19.21
01/02/2024,12:00,N,HB_HOUSTON,19.32
01/02/2024,12:00,N,HB_HUBAVG,19.22
01/02/2024,12:00,N,HB_NORTH,19.32
01/02/2024,12:00,N,HB_PAN,19.34
01/02/2024,12:00,N,HB_SOUTH,18.66
